,0
0,Arizona
1,Connecticut
2,Delaware
3,Georgia
4,Hawaii
5,Idaho
6,Illinois
7,Indiana
8,Iowa
9,Kansas
10,Kentucky
11,Louisiana
12,Maine
13,Maryland
14,Massachusetts
15,Michigan
16,Minnesota
17,Mississippi
18,Missouri
19,Montana
20,Nebraska
21,Nevada
22,New Hampshire
23,New Jersey
24,North Dakota
25,Oklahoma
26,Oregon
27,Rhode Island
28,South Dakota
29,Tennessee
30,Vermont
31,Virginia
32,West Virginia
33,Wisconsin
34,Wyoming
